accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.30-1
adapta-maia-theme 3.94.0.149-1
adwaita-icon-theme 3.30.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.7-1
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
aom 1.0.0-1
appstream-glib 0.7.14-1
arandr 0.1.9-2
archlinux-appstream-data 20181016-1
archlinux-keyring 20181031-1
argon2 20171227-3
arp-scan 1.9-3
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
b43-fwcutter 019-2
babl 0.1.58-1
bash 4.4.023-2
bashrc-manjaro 4.4.023-2
bind-tools 9.13.3-3
binutils 2.31.1-3
bison 3.2-1
blas 3.8.0-2
blueman 2.0.6-1
bluez 5.50-3
bluez-libs 5.50-3
boost-libs 1.68.0-2
brotli 1.0.7-1
btrfs-progs 4.19-1
bzip2 1.0.6-8
ca-certificates 20180821-1
ca-certificates-mozilla 3.40-1
ca-certificates-utils 20180821-1
cairo 1.16.0-1
cairo-perl 1.106-6
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
catfish 1.4.6-2
chromium 70.0.3538.77-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
colord 1.4.3-2
compface 1.5.2-8
compton 3.0-5
conky 1.10.8-2
coreutils 8.30-1
cpupower 4.19-1
cracklib 2.9.6-3
crda 4.14-1
cronie 1.5.2-1
cryptsetup 2.0.5-1
curl 7.62.0-1
dash 0.5.10.2-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
deadbeef 0.7.2-4
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.182-1
dhclient 4.4.1-4
dhcpcd 7.0.8-1
diffutils 3.6-2
ding-libs 0.6.1-2
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-1
dnssec-anchors 20181003-1
dosfstools 4.1-2
double-conversion 3.1.1-1
dunst 1.3.2-1
e2fsprogs 1.44.4-1
ecryptfs-utils 111-2
efibootmgr 16-1
efivar 35-1
enchant 2.2.3-1
engrampa 1.20.1-1
exfat-utils 1.3.0-1
exiv2 0.26-2
exo-gtk3 0.12.3-1
expat 2.2.6-1
f2fs-tools 1.11.0-2
fakeroot 1.23-1
ffmpeg 1:4.1-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.35-1
filesystem 2018.9-1
findutils 4.6.0-4
flac 1.3.2-1
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
galculator 2.1.4-3
gamin 0.1.10-9
garcon-gtk3 0.6.1-4
gawk 4.2.1-1
gc 7.6.8-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gcolor2 0.4-8
gcr 3.28.0-4
gdbm 1.18.1-1
gdk-pixbuf2 2.38.0-1
gegl 0.4.12-1
geoclue2 2.5.1-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
giblib 1.2.4-7
giflib 5.1.4-1
gimp 2.10.8-1
git 2.19.1-1
gksu-polkit 0.0.3-1
glib-networking 2.58.0-1
glib-perl 1.326-2
glib2 2.58.1+67+g17519e039-1
glibc 2.28-5
glibmm 2.56.0-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-disk-utility 3.30.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-extras 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-themes-extra 3.28-1
gnupg 2.2.11-1
gnustep-base 1.25.1-4
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.0+8+gfdaa3b1a-1
gparted 0.32.0-1
gpgme 1.12.0-1
gpicview 0.2.5-3
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphite 1:1.3.12-1
grep 3.1-2
groff 1.22.3-8
grub 2.03.2-1
grub-theme-manjaro 18.0-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsimplecal 2.1-3
gsm 1.0.18-1
gssproxy 0.8.0-1
gst-plugins-base-libs 1.14.4-1
gstreamer 1.14.4-1
gtk-update-icon-cache 3.24.1+33+g615fa7cfb6-0
gtk2 2.24.32-1
gtk2-perl 1.24992-2
gtk3-classic 3.24.1+33+g615fa7cfb6-1
gtkmm 2.24.5-2
gtkmm3 3.24.0-1
gtksourceview3 3.24.9-2
gtkspell 2.0.16-7
guile 2.2.4-1
gvfs 1.38.1-1
gvfs-afc 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-nfs 1.38.1-1
gvfs-smb 1.38.1-1
gzip 1.9-2
harfbuzz 2.1.1-1
harfbuzz-icu 2.1.1-1
haveged 1.9.4-3
hdparm 9.57-1
hibernator 0.4-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
hunspell 1.6.2-1
hwids 20180518-1
hwinfo 21.58-1
hyphen 2.8.8-2
i3lock 2.10-1
iana-etc 20180913-1
icu 63.1-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.14-1
imlib2 1.5.1-1
inetutils 1.9.4-6
intel-tbb 2019-1
intel-ucode 20180807.a-1
iproute2 4.19.0-1
iptables 1:1.8.0-1
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
jfsutils 1.1.15-6
jgmenu 1.4.1-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kauth 5.52.0-1
kbd 2.0.4-2
kcoreaddons 5.52.0-1
keyutils 1.5.11-1
kickshaw 0.6.4-1
kitemmodels 5.52.0-1
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.3.6-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
libabw 0.1.2-1
libaio 0.3.111-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.20-1
libbluray 1.0.2-2
libbsd 0.9.1-1
libburn 1.5.0-1
libbytesize 1.4-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-2
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-5
libcmis 0.5.1-10
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.9-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libde265 1.0.3-1
libdrm 2.4.96-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-4
libedit 20180525_3.1-1
libelf 0.174-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libev 4.24-1
libevdev 1.6.0-1
libevent 2.1.8-2
libexif 0.6.21-3
libexttextcat 3.4.5-1
libffi 3.2.1-3
libfm-extra 1.3.0.2-1
libfontenc 1.1.3-2
libfreehand 0.1.2-1
libgcrypt 1.8.4-1
libgee 0.20.1-2
libgee06 0.6.8-1
libgexiv2 0.10.8-2
libglade 2.6.4-6
libglvnd 1.1.0-1
libgnomekbd 3.26.0+5+g1c1b585-1
libgpg-error 1.32-1
libgudev 232-1
libgusb 0.3.0-1
libheif 1.3.2-2
libibus 1.5.19-1
libical 3.0.4-2
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.0.5-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+66+g5a85432-2
libinput 1.12.3-1
libisofs 1.5.0-1
libixion 0.14.1-1
libjpeg-turbo 2.0.0-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.46-2
liblqr 0.4.2-2
libmagick 7.0.8.14-1
libmm-glib 1.8.2-1
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libmpdclient 2.16-1
libmspub 0.1.4-4
libmtp 1.1.16-1
libmwaw 0.3.14-1
libmypaint 1.3.0-6
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnfs 3.0.0-2
libnftnl 1.1.1-1
libnghttp2 1.34.0-1
libnl 3.4.0-1
libnm 1.14.5dev+17+gba83251bb-1
libnm-glib 1.14.5dev+17+gba83251bb-1
libnm-gtk 1.8.19dev+21+geebf7f95-1
libnma 1.8.19dev+21+geebf7f95-1
libnotify 0.7.7-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-1
libpagemaker 0.0.4-1
libpcap 1.9.0-1
libpciaccess 0.14-1
libpeas 1.22.0-3
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libpwquality 1.4.0-1
libqxp 0.0.1-4
libraqm 0.5.0-1
libraw 0.19.0-1
libraw1394 2.1.2-1
libreoffice-fresh 6.1.3-1
librevenge 0.0.4-2
librsvg 2:2.44.8-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libsigc++ 2.10.1-1
libsm 1.2.3-1
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspiro 1:0.5.20150702-2
libssh 0.8.5-1
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libstemmer 0+337-3
libsynctex 2018.47465-5
libsystemd 239.6-1
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-3
libutil-linux 2.33-2
