accountsservice 0.6.54+2+g204a4ab-1
acpi 1.7-2
acpid 2.0.30-1
adapta-maia-theme 3.94.0.149-1
adwaita-icon-theme 3.30.0-1
alsa-firmware 1.0.29-2
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
arandr 0.1.9-2
archlinux-keyring 20181031-1
arp-scan 1.9-3
autoconf 2.69-5
automake 1.16.1-1
b43-fwcutter 019-2
bash 4.4.023-2
bind-tools 9.13.3-3
binutils 2.31.1-3
bison 3.2-1
blueman 2.0.6-1
btrfs-progs 4.19-1
bzip2 1.0.6-8
catfish 1.4.6-2
chromium 70.0.3538.77-2
compton 3.0-5
conky 1.10.8-2
coreutils 8.30-1
cpupower 4.19-1
crda 4.14-1
cronie 1.5.2-1
cryptsetup 2.0.5-1
dash 0.5.10.2-1
deadbeef 0.7.2-4
device-mapper 2.02.182-1
dhclient 4.4.1-4
dhcpcd 7.0.8-1
diffutils 3.6-2
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-1
dosfstools 4.1-2
dunst 1.3.2-1
e2fsprogs 1.44.4-1
ecryptfs-utils 111-2
efibootmgr 16-1
engrampa 1.20.1-1
exfat-utils 1.3.0-1
exo-gtk3 0.12.3-1
f2fs-tools 1.11.0-2
fakeroot 1.23-1
ffmpeg 1:4.1-1
ffmpegthumbnailer 2.2.0-2
file 5.35-1
filesystem 2018.9-1
findutils 4.6.0-4
flex 2.6.4-2
freetype2 2.9.1-1
galculator 2.1.4-3
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.8-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gcolor2 0.4-8
gettext 0.19.8.1-3
gimp 2.10.8-1
git 2.19.1-1
gksu-polkit 0.0.3-1
glibc 2.28-5
gnome-disk-utility 3.30.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-extras 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-themes-extra 3.28-1
gparted 0.32.0-1
gpicview 0.2.5-3
grep 3.1-2
groff 1.22.3-8
grub 2.03.2-1
grub-theme-manjaro 18.0-1
gsimplecal 2.1-3
gtk3-classic 3.24.1+33+g615fa7cfb6-1
guile 2.2.4-1
gvfs 1.38.1-1
gvfs-afc 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-nfs 1.38.1-1
gvfs-smb 1.38.1-1
gzip 1.9-2
haveged 1.9.4-3
hibernator 0.4-1
hicolor-icon-theme 0.17-1
i3lock 2.10-1
imagemagick 7.0.8.14-1
inetutils 1.9.4-6
intel-ucode 20180807.a-1
iproute2 4.19.0-1
iptables 1:1.8.0-1
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
jfsutils 1.1.15-6
jgmenu 1.4.1-1
jsoncpp 1.8.4-2
kickshaw 0.6.4-1
less 530-1
libatomic_ops 7.6.6-1
libmpc 1.1.0-1
libmpdclient 2.16-1
libreoffice-fresh 6.1.3-1
libtool 2.4.6+42+gb88cebd5-2
licenses 20181104-1
lightdm 1:1.28.0-1
lightdm-slick-greeter 1.2.2-1
linux-firmware 20181026.1cb4e51-0.1
linux419 4.19.1-1
logrotate 3.14.0-1
lsb-release 1.4-12
lvm2 2.02.182-1
lxappearance-gtk3 0.6.3-1
lxappearance-obconf-gtk3 0.2.3-1
lxmenu-data 0.1.5-1
lynx 2.8.9-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.8.4-1
man-pages 4.16-2
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-openbox-adapta-maia 1.0-4
manjaro-openbox-config 1.18.2-0.1
manjaro-openbox-desktop-settings 1.18.2-0.1
manjaro-openbox-fonts 1.18-1
manjaro-openbox-scripts 1.18.5-1
manjaro-openbox-wallpapers-18.0 1.0-7
manjaro-release 18.0.0-1.1
manjaro-settings-manager 0.5.5-2
manjaro-system 20180828-2
manjaro-wallpapers-18.0 1.4-3
manjaro-zsh-config 0.11-1
mc 4.8.21-1
mdadm 4.0-1
memtest86+ 5.01-2
